party,name,state,district,twitter_username,twitter_id,tweet_count,eligible,included_in_balanced_corpus,exclusion_reason,user_code,source_url
Republican,Erin Houchin,IN,09,RepHouchin,,50,True,true,,rep069,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Chrissy Houlahan,PA,06,RepHoulahan,,50,True,true,,dem025,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Steny Hoyer,MD,05,RepStenyHoyer,,50,True,true,,dem181,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Val Hoyle,OR,04,repvalhoyle,,50,True,true,,dem197,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Richard Hudson,NC,09,RepRichHudson,,50,True,true,,rep163,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jared Huffman,CA,02,RepHuffman,,50,True,true,,dem077,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Bill Huizenga,MI,04,RepHuizenga,,50,True,true,,rep020,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Wesley Hunt,TX,38,RepWesleyHunt,,0,False,false,,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Jeff Hurd,CO,03,RepJeffHurd,,50,True,true,,rep088,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Darrell Issa,CA,48,repdarrellissa,,50,True,true,,rep054,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Glenn Ivey,MD,04,RepGlennIvey,,50,True,true,,dem056,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Brian Jack,GA,03,RepBrianJack,,50,True,true,,rep029,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jonathan Jackson,IL,01,rep_jackson,,50,True,true,,dem095,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Ronny Jackson,TX,13,RepRonnyJackson,,50,True,true,,rep173,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Sara Jacobs,CA,51,RepSaraJacobs,,50,True,true,,dem169,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,John James,MI,10,RepJames,,50,True,true,,rep096,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
